Postcode;Perioden;%Eenpersoons;%Meerpersoons met kinderen;%Meerpersoons zonder kinderen;Eenpersoons;Meerpersoons met kinderen;Meerpersoons zonder kinderen;Huishoudensgrootte;%Mannen;%Vrouwen;Mannen;Vrouwen;%Nederlandse achtergrond;%Niet-westerse migratieachtergrond;%Westerse migratieachtergrond;Nederlandse achtergrond;Niet-westerse migratieachtergrond;Westerse migratieachtergrond;0 tot 5 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 30 jaar;30 tot 35 jaar;35 tot 40 jaar;40 tot 45 jaar;45 tot 50 jaar;5 tot 10 jaar;50 tot 55 jaar;55 tot 60 jaar;60 tot 65 jaar;65 tot 70 jaar;70 tot 75 jaar;75 tot 80 jaar;80 tot 85 jaar;85 tot 90 jaar;90 tot 95 jaar;95 jaar of ouder;%0 tot 5 jaar;%10 tot 15 jaar;%15 tot 20 jaar;%20 tot 25 jaar;%25 tot 30 jaar;%30 tot 35 jaar;%35 tot 40 jaar;%40 tot 45 jaar;%45 tot 50 jaar;%5 tot 10 jaar;%50 tot 55 jaar;%55 tot 60 jaar;%60 tot 65 jaar;%65 tot 70 jaar;%70 tot 75 jaar;%75 tot 80 jaar;%80 tot 85 jaar;%85 tot 90 jaar;%90 tot 95 jaar;%95 jaar of ouder;GemiddeldeWoningwaarde;Bevolkingsdichtheid;GemiddeldInkomenPerInwoner
5211;1998;65,60%;11,51%;22,89%;4615;810;1610;1,51;48,95%;51,05%;5490;5725;83,55%;6,64%;9,81%;9370;745;1100;710;420;690;2160;3985;2855;1960;1560;1400;560;1200;900;705;780;780;810;550;280;90;25;3,17%;1,87%;3,08%;9,63%;17,77%;12,73%;8,74%;6,96%;6,24%;2,50%;5,35%;4,01%;3,14%;3,48%;3,48%;3,61%;2,45%;1,25%;0,40%;0,11%;;;
5212;1998;45,64%;27,57%;26,80%;1490;900;875;1,99;48,71%;51,29%;3200;3370;80,84%;11,86%;7,30%;5315;780;480;780;650;740;1135;1470;1300;1155;1105;860;705;695;470;495;455;440;310;230;120;35;0;5,93%;4,94%;5,63%;8,63%;11,18%;9,89%;8,78%;8,40%;6,54%;5,36%;5,29%;3,57%;3,76%;3,46%;3,35%;2,36%;1,75%;0,91%;0,27%;0,00%;;;
5213;1998;37,06%;34,26%;28,68%;1260;1165;975;2,14;49,46%;50,54%;3640;3720;84,24%;9,10%;6,66%;6200;670;490;760;820;720;1050;1510;1295;1080;975;975;835;985;755;770;770;615;455;260;75;15;0;5,16%;5,57%;4,89%;7,13%;10,26%;8,80%;7,34%;6,62%;6,62%;5,67%;6,69%;5,13%;5,23%;5,23%;4,18%;3,09%;1,77%;0,51%;0,10%;0,00%;;;
5215;1998;42,03%;27,69%;30,28%;1055;695;760;2,02;46,45%;53,55%;2450;2825;84,19%;6,82%;9,00%;4445;360;475;500;460;495;670;910;905;820;710;690;510;600;540;550;600;580;465;320;160;60;20;4,73%;4,35%;4,69%;6,34%;8,61%;8,57%;7,76%;6,72%;6,53%;4,83%;5,68%;5,11%;5,21%;5,68%;5,49%;4,40%;3,03%;1,51%;0,57%;0,19%;;;
5216;1998;45,53%;21,61%;32,85%;1580;750;1140;1,87;45,19%;54,81%;3005;3645;84,37%;7,89%;7,74%;5615;525;515;555;430;475;570;960;900;820;660;750;495;755;720;885;1200;1195;865;640;310;100;20;4,17%;3,23%;3,57%;4,28%;7,22%;6,76%;6,16%;4,96%;5,64%;3,72%;5,67%;5,41%;6,65%;9,02%;8,98%;6,50%;4,81%;2,33%;0,75%;0,15%;;;
5221;1998;14,81%;47,74%;37,45%;180;580;455;2,7;51,83%;48,17%;1695;1575;92,20%;1,38%;6,42%;3015;45;210;600;415;360;260;540;770;620;580;540;410;430;350;280;230;95;35;20;10;10;0;9,15%;6,33%;5,49%;3,97%;8,24%;11,75%;9,46%;8,85%;8,24%;6,25%;6,56%;5,34%;4,27%;3,51%;1,45%;0,53%;0,31%;0,15%;0,15%;0,00%;;;
5222;1998;33,33%;25,00%;41,67%;20;15;25;1,98;54,17%;45,83%;65;55;95,65%;0,00%;4,35%;110;0;5;15;0;5;25;45;25;15;30;10;10;15;25;10;15;0;0;0;0;0;0;6,12%;0,00%;2,04%;10,20%;18,37%;10,20%;6,12%;12,24%;4,08%;4,08%;6,12%;10,20%;4,08%;6,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;;
5223;1998;45,78%;26,80%;27,42%;2195;1285;1315;1,98;50,39%;49,61%;4795;4720;69,82%;20,87%;9,31%;6640;1985;885;1125;780;980;1700;2475;1845;1365;1060;1095;995;1120;990;925;780;700;530;345;160;35;20;5,91%;4,10%;5,15%;8,94%;13,01%;9,70%;7,17%;5,57%;5,76%;5,23%;5,89%;5,20%;4,86%;4,10%;3,68%;2,79%;1,81%;0,84%;0,18%;0,11%;;;
5224;1998;28,44%;34,97%;36,60%;1045;1285;1345;2,31;48,35%;51,65%;4110;4390;77,24%;12,41%;10,35%;6565;1055;880;810;955;975;1015;1290;1130;1230;940;1115;960;1275;1200;1255;1165;880;500;215;75;10;5;4,76%;5,62%;5,74%;5,97%;7,59%;6,65%;7,24%;5,53%;6,56%;5,65%;7,50%;7,06%;7,38%;6,85%;5,18%;2,94%;1,26%;0,44%;0,06%;0,03%;;;
5231;1998;35,34%;38,51%;26,15%;1615;1760;1195;2,29;48,85%;51,15%;5115;5355;77,47%;12,94%;9,59%;8115;1355;1005;1210;1315;1490;1605;1905;1535;1530;1635;1580;1325;1385;990;765;720;745;550;370;195;60;10;5,78%;6,29%;7,12%;7,67%;9,11%;7,34%;7,31%;7,82%;7,55%;6,33%;6,62%;4,73%;3,66%;3,44%;3,56%;2,63%;1,77%;0,93%;0,29%;0,05%;;;
